Title,Genre,Release Date,Release Year,Description,Duration,Critic Rating,Audience Rating,Consensus Text,URL,Type,netflix,max-us,fandango,vudu,disney-plus-us,paramount-plus-us,peacock,apple-tv-us,apple-tv-plus-us,hulu,amazon-prime-video-us
Tehran,Drama/,"2020 - Present,",2020,Tehran: Season 2 First Look,N/A,94%,54%,N/A,https://www.rottentomatoes.com/tv/tehran,TV Show,No,No,No,No,No,No,No,No,Yes,No,No
Sleep No More: Director's Cut,Crime/,"Released Jul 26,",N/A,Sleep No More: Director's Cut: Trailer 1,"1h 27m,",,,N/A,https://www.rottentomatoes.com/m/sleep_no_more_directors_cut,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Requiem for a Dream,Drama,"Released Oct 27, 2000,",2000,Requiem for a Dream: Trailer 1,"1h 41m,",70%,91%,"Critics Consensus
        
Though the movie may be too intense for some to stomach, the wonderful performances and the bleak imagery are hard to forget.
Read Critics Reviews",https://www.rottentomatoes.com/m/requiem_for_a_dream,Movie,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes
The Beast Within,Horror/,"Now Playing,",N/A,The Beast Within: Trailer 1,"1h 37m,",67%,60%,"Critics Consensus
        
Somewhere inside The Beast Within lies a clever riff on the werewolf genre, but it struggles to claw through a lack of incident and specificity.
Read Critics Reviews",https://www.rottentomatoes.com/m/the_beast_within_2024,Movie,No,No,Yes,Yes,No,No,No,No,No,No,No
Kleo,Crime/,"2022 - Present,",2022,"After the fall of the Berlin Wall, a former East German spy sets out to find out who betrayed her and why, using her deadly skills to exact revenge.",N/A,92%,71%,N/A,https://www.rottentomatoes.com/tv/kleo,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
Leave the World Behind,Mystery & Thriller/,"Released Nov 22, 2023,",2023,Leave the World Behind: Final Trailer,"2h 20m,",67%,63%,"Critics Consensus
        
An exceptionally well-acted apocalyptic thriller, Leave the World Behind steadily draws the viewer in despite its leisurely pace and somewhat simplistic messaging.
Read Critics Reviews",https://www.rottentomatoes.com/m/leave_the_world_behind_2023,Movie,Yes,No,No,No,No,No,No,No,No,No,No
The Clovehitch Killer,Mystery & Thriller,"Released Nov 16, 2018,",2018,The Clovehitch Killer: Trailer 1,"1h 50m,",39%,23%,"Critics Consensus
        
The Clovehitch Killer patiently dials up the tension with a story that makes up for a lack of surprises with strong performances and a chilling wit.
Read Critics Reviews",https://www.rottentomatoes.com/m/the_clovehitch_killer,Movie,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
Avengers: Infinity War,Action/,"Released Apr 27, 2018,",2018,Most Surprising Movie Cameos,"2h 29m,",76%,82%,"Critics Consensus
        
Avengers: Infinity War ably juggles a dizzying array of MCU heroes in the fight against their gravest threat yet, and the result is a thrilling, emotionally resonant blockbuster that (mostly) realizes its gargantuan ambitions.
Read Critics Reviews",https://www.rottentomatoes.com/m/avengers_infinity_war,Movie,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
Valleyheart,Drama/,"Released Jul 19,",N/A,Valleyheart: Trailer 1,"1h 38m,",,,N/A,https://www.rottentomatoes.com/m/valleyheart,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Season 1 – Love Is Blind: UK,Reality/,"Premieres Wed Aug 7,",N/A,"Singles across the UK meet, date and get engaged before seeing each other.",N/A,,,N/A,https://www.rottentomatoes.com/tv/love_is_blind_uk/s01,TV Show,No,No,No,No,No,No,No,No,No,No,No
