Title,Genre,Release Date,Release Year,Description,Duration,Critic Rating,Audience Rating,Consensus Text,URL,Type,netflix,max-us,fandango,vudu,disney-plus-us,paramount-plus-us,peacock,apple-tv-us,apple-tv-plus-us,hulu,amazon-prime-video-us
He's Into Her,Romance/,"2021 - Present,",2021,He's Into Her: Season 2 Trailer,N/A,,70%,N/A,https://www.rottentomatoes.com/tv/hes_into_her,TV Show,No,No,No,No,No,No,No,No,No,No,No
Nine Perfect Strangers,Drama,"2021 - Present,",2021,Nine Perfect Strangers: Limited Series Trailer - Everybody Has A Story,N/A,59%,57%,N/A,https://www.rottentomatoes.com/tv/nine_perfect_strangers,TV Show,No,No,No,No,No,No,No,Yes,No,Yes,Yes
Customs Frontline,Drama/,"Released Jul 19,",N/A,Customs Frontline: Trailer 1,"2h 0m,",11%,67%,N/A,https://www.rottentomatoes.com/m/customs_frontline,Movie,No,No,No,No,No,No,No,No,No,No,No
Ghostbusters: Afterlife,Comedy/,"Released Nov 19, 2021,",2021,Ghostbusters: Afterlife: Final Trailer,"2h 4m,",23%,48%,"Critics Consensus
        
Ghostbusters: Afterlife crosses the streams between franchise revival and exercise in nostalgia -- and this time around, the bustin' mostly feels good.
Read Critics Reviews",https://www.rottentomatoes.com/m/ghostbusters_afterlife,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Severance,Drama/,"2022 - Present,",2022,5 Shows To Watch If You Love 'Severance',N/A,97%,58%,N/A,https://www.rottentomatoes.com/tv/severance,TV Show,No,No,No,No,No,No,No,No,Yes,No,No
The Innocent,Drama,"2021 - Present,",2021,"An accidental killing leads a man down a dark hole of intrigue and murder; just as he finds love and freedom, a phone call brings back the nightmare.",N/A,100%,64%,N/A,https://www.rottentomatoes.com/tv/the_innocent,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
Getting Lost With Erin French,Travel/,"Next Ep Sun Aug 11,",N/A,Cookbook author and restaurateur revisits her book.,N/A,,,N/A,https://www.rottentomatoes.com/tv/getting_lost_with_erin_french,TV Show,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
Sicario,Mystery & Thriller/,"Released Oct 2, 2015,",2015,Sicario: 'Hitman' Trailer,"2h 1m,",62%,65%,"Critics Consensus
        
Led by outstanding work from Emily Blunt and Benicio del Toro, Sicario is a taut, tightly wound thriller with much more on its mind than attention-getting set pieces.
Read Critics Reviews",https://www.rottentomatoes.com/m/sicario_2015,Movie,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes
The Watchers,Horror/,"Released Jun 7,",N/A,The Watchers: TV Spot - We Are Their Prey,"1h 42m,",29%,82%,"Critics Consensus
        
Heavy on eerie mood but undone by an obtuse script, The Watchers can only hold the gaze for so long before tedium sets in.
Read Critics Reviews",https://www.rottentomatoes.com/m/the_watchers_2024,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Viraaji,Drama,"Now Playing,",N/A,"The story happens in Visakhapatnam. A group of four people (a film producer, a stand up comedian, a doctor and a pre wedding shoot photographer) goes to a place top attend performa sanmanam event of a celebrity astrologer.","1h 40m,",,,N/A,https://www.rottentomatoes.com/m/viraaji,Movie,No,No,No,No,No,No,No,No,No,No,No
The Diplomat,Drama/,"2023 - Present,",2023,The Diplomat: Season 1 Featurette - Meet the Political Brain Trust,N/A,83%,75%,N/A,https://www.rottentomatoes.com/tv/the_diplomat,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
Florida Man,Crime/,"2023 - Present,",2023,Florida Man: Season 1 Trailer,N/A,22%,40%,N/A,https://www.rottentomatoes.com/tv/florida_man,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
American Horror Story,Drama/,"2011 - Present,",2011,10 Best American Horror Story Seasons Ranked,N/A,72%,78%,N/A,https://www.rottentomatoes.com/tv/american_horror_story,TV Show,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes
Pain Hustlers,Crime/,"Released Oct 20, 2023,",2023,Pain Hustlers: Trailer 1,"2h 2m,",44%,70%,"Critics Consensus
        
Pain Hustlers has some great actors and a worthwhile premise, but lackluster execution dooms this dramatic look at the opioid epidemic.
Read Critics Reviews",https://www.rottentomatoes.com/m/pain_hustlers,Movie,Yes,No,No,No,No,No,No,No,No,No,No
Signora Volpe,Crime/,"Next Ep Mon Aug 12,",N/A,"Disillusioned British spy Sylvia Fox is in Italy for her niece's wedding when the groom goes missing. Sylvia solves the mystery and, longing to reconnect with her sister, decides to start anew in Umbria. Soon she's tackling other cases and winning over a handsome local cop, even as her ex-husband/ex-colleague tries to lure her back.",N/A,,88%,N/A,https://www.rottentomatoes.com/tv/signora_volpe,TV Show,No,No,No,No,No,No,No,Yes,No,No,Yes
How to Come Alive with Norman Mailer,Documentary/,"Now Playing,",N/A,How to Come Alive with Norman Mailer: Trailer 1,"1h 42m,",100%,100%,N/A,https://www.rottentomatoes.com/m/how_to_come_alive_with_norman_mailer,Movie,No,No,No,No,No,No,No,No,No,No,No
Maxton Hall - The World Between Us,Drama/,"2024 - Present,",2024,Maxton Hall - The World Between Us: Season 1 Trailer,N/A,67%,94%,N/A,https://www.rottentomatoes.com/tv/maxton_hall_the_world_between_us,TV Show,No,No,No,No,No,No,No,No,No,No,Yes
Black Bird,Crime/,"2022,",2022,Black Bird: Limited Series Trailer,N/A,98%,86%,N/A,https://www.rottentomatoes.com/tv/black_bird,TV Show,No,No,No,No,No,No,No,No,Yes,No,No
Guardians of the Galaxy Vol. 3,Sci-Fi/,"Released May 5, 2023,",2023,The History of Guardians of the Galaxy as Told by Chris Pratt and James Gunn,"2h 30m,",85%,87%,"Critics Consensus
        
A galactic group hug that might squeeze a little too tight on the heartstrings, the final Guardians of the Galaxy is a loving last hurrah for the MCU's most ragtag family.
Read Critics Reviews",https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_3,Movie,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
Love Lies Bleeding,Mystery & Thriller/,"Released Mar 15,",N/A,Love Lies Bleeding: Featurette - Behind the Scenes,"1h 44m,",22%,35%,"Critics Consensus
        
Lust and violence collide to powerfully pulpy effect in Love Lies Bleeding, a well-acted addition to writer-director Rose Glass' growing body of exceptional work.
Read Critics Reviews",https://www.rottentomatoes.com/m/love_lies_bleeding_2024,Movie,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
Slow Horses,Drama/,"Next Ep Wed Sep 4,",N/A,Slow Horses: Season 2 Trailer,N/A,98%,56%,N/A,https://www.rottentomatoes.com/tv/slow_horses,TV Show,No,No,No,No,No,No,No,No,Yes,No,No
Land of Tanabata,Drama,"2024 - Present,",2024,"Yôji Minamimaru, nicknamed Nanmaru is a college student who has the supernatural ability that allows him to ""create small holes in anything""; with this seemingly useless ability, he must confront a crisis threatening the entire world.",N/A,,83%,N/A,https://www.rottentomatoes.com/tv/land_of_tanabata,TV Show,No,No,No,No,No,No,No,No,No,Yes,No
The Hunger Games: The Ballad of Songbirds & Snakes,Action/,"Released Nov 17, 2023,",2023,The Hunger Games: The Ballad of Songbirds & Snakes: Exclusive Bonus Featurette - Make It Entertaining,"2h 37m,",35%,74%,"Critics Consensus
        
An outstanding cast and exciting story help make The Hunger Games: The Ballad of Songbirds & Snakes a worthy return to Panem in spite of a rushed and somewhat frustrating ending.
Read Critics Reviews",https://www.rottentomatoes.com/m/the_hunger_games_the_ballad_of_songbirds_and_snakes,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
They Cloned Tyrone,Sci-Fi/,"Released Jul 14, 2023,",2023,They Cloned Tyrone: Trailer 1,"2h 2m,",39%,30%,"Critics Consensus
        
They Cloned Tyrone is provocative, clever sci-fi with an exceptional cast.
Read Critics Reviews",https://www.rottentomatoes.com/m/they_cloned_tyrone,Movie,Yes,No,No,No,No,No,No,No,No,No,No
Rise of the Planet of the Apes,Sci-Fi/,"Released Aug 5, 2011,",2011,"Will Rodman (James Franco), a scientist in San Francisco, is experimenting with a drug that he hopes will cure his father's (John Lithgow) Alzheimer's disease. After his work is deemed a failure, Will becomes the guardian of Caesar, an infant chimp who was exposed in-utero to Will's drug. Caesar displays unusual intelligence, and Will decides to continue his experiments secretly. But as Caesar's intellect and abilities grow, he comes to represent a threat to man's dominion over Earth.","1h 45m,",54%,61%,"Critics Consensus
        
Led by Rupert Wyatt's stylish direction, some impressive special effects, and a mesmerizing performance by Andy Serkis, Rise of the Planet of the Apes breathes unlikely new life into a long-running franchise.
Read Critics Reviews",https://www.rottentomatoes.com/m/rise_of_the_planet_of_the_apes,Movie,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes
The Snow Girl,Crime/,"2023 - Present,",2023,The Snow Girl: Season 1 Trailer,N/A,100%,79%,N/A,https://www.rottentomatoes.com/tv/the_snow_girl,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
The Notebook,Romance/,"Released Jun 25, 2004,",2004,The Notebook: Trailer 1,"2h 4m,",54%,73%,"Critics Consensus
        
It's hard not to admire its unabashed sentimentality, but The Notebook is too clumsily manipulative to rise above its melodramatic clichés.
Read Critics Reviews",https://www.rottentomatoes.com/m/notebook,Movie,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes
The Emoji Movie,Kids & Family/,"Released Jul 28, 2017,",2017,The Emoji Movie: The Emoji Movie's Funniest Scenes,"1h 26m,",72%,84%,"Critics Consensus
        
🚫
Read Critics Reviews",https://www.rottentomatoes.com/m/the_emoji_movie,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Meth Gator,Action/,"Released Aug 2,",N/A,"In a 2019 news bulletin, police warned residents to refrain from flushing methamphetamine down the toilet to prevent ""meth-gators."" Down in Sweet Water Point, Florida, they didn't listen.","1h 20m,",,59%,N/A,https://www.rottentomatoes.com/m/meth_gator,Movie,No,No,Yes,Yes,No,No,No,Yes,No,No,No
Fair Play,Drama,"Released Sep 29, 2023,",2023,Fair Play: Trailer 2,"1h 53m,",95%,85%,"Critics Consensus
        
With assured style that's at times reminiscent of the best '90s nail-biting thrillers, Fair Play juxtaposes premarital disharmony with greed and gender politics in the cutthroat finance world.
Read Critics Reviews",https://www.rottentomatoes.com/m/fair_play_2023,Movie,Yes,No,No,No,No,No,No,No,No,No,No
Monkey Man,Action/,"Released Apr 5,",N/A,Monkey Man: Exclusive Featurette - Man of Action,"1h 53m,",92%,84%,"Critics Consensus
        
An audacious effort from debuting director Dev Patel, Monkey Man dispenses action and sociopolitical commentary with equal aplomb.
Read Critics Reviews",https://www.rottentomatoes.com/m/monkey_man,Movie,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes
Hunt for the Wilderpeople,Comedy/,"Released Jun 24, 2016,",2016,Hunt for the Wilderpeople: US Release Trailer,"1h 41m,",0%,38%,"Critics Consensus
        
The charmingly offbeat Hunt for the Wilderpeople unites a solid cast, a talented filmmaker, and a poignant, funny, deeply affecting message.
Read Critics Reviews",https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople,Movie,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
Spider-Man: Into the Spider-Verse,Kids & Family/,"Released Dec 14, 2018,",2018,Spider-Verse 2 Facts & Rumors,"1h 57m,",95%,94%,"Critics Consensus
        
Spider-Man: Into the Spider-Verse matches bold storytelling with striking animation for a purely enjoyable adventure with heart, humor, and plenty of superhero action.
Read Critics Reviews",https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
The Autopsy of Jane Doe,Horror/,"Released Dec 21, 2016,",2016,The Autopsy of Jane Doe: Trailer 2,"1h 26m,",36%,29%,"Critics Consensus
        
The Autopsy of Jane Doe subverts the gruesome expectations triggered by its title to deliver a smart, suggestively creepy thriller that bolsters director André Ovredal's growing reputation.
Read Critics Reviews",https://www.rottentomatoes.com/m/the_autopsy_of_jane_doe,Movie,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
Wish,Kids & Family/,"Released Nov 22, 2023,",2023,Wish: Exclusive Featurette - Hidden Nods,"1h 32m,",88%,64%,"Critics Consensus
        
Wish earns some tugs at the heartstrings with the way it warmly references many of the studio's classics, but nostalgia's no substitute for genuine storytelling magic -- no matter how beautifully animated it might be.
Read Critics Reviews",https://www.rottentomatoes.com/m/wish_2023,Movie,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
Godzilla x Kong: The New Empire,Sci-Fi/,"Released Mar 29,",N/A,MonsterVerse: Exclusive Interview - Director Roundtable,"1h 55m,",30%,91%,"Critics Consensus
        
Come to Godzilla x Kong: The New Empire for the sheer monster-mashing spectacle -- and stay for that too, because the movie doesn't have much else to offer.
Read Critics Reviews",https://www.rottentomatoes.com/m/godzilla_x_kong_the_new_empire,Movie,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
Big Little Lies,Drama,"2017 - 2019,",2017,Big Little Lies: Season 2 Title Sequence,N/A,93%,83%,N/A,https://www.rottentomatoes.com/tv/big_little_lies,TV Show,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
Euphoria,Drama,"2019 - Present,",2019,5 Titles to Watch If You Love ‘Euphoria’,N/A,80%,83%,N/A,https://www.rottentomatoes.com/tv/euphoria,TV Show,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
"LaRoy, Texas",Comedy/,"Released Apr 12,",N/A,"LaRoy, Texas: Exclusive Trailer","1h 50m,",73%,85%,"Critics Consensus
        
Distinguished by sharp writing and a talented cast, LaRoy, Texas is a generally satisfying neo-noir treat for crime thriller fans.
Read Critics Reviews",https://www.rottentomatoes.com/m/laroy_texas,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Renegade Nell,Action/,"2024 - Present,",2024,Renegade Nell: Season 1 Trailer,N/A,87%,69%,N/A,https://www.rottentomatoes.com/tv/renegade_nell,TV Show,No,No,No,No,Yes,No,No,No,No,No,No
The Twelve,Drama,"2019 - Present,",2019,"Twelve ordinary citizens are summoned for jury duty, where their decision in a murder case is not the only thing at stake.",N/A,100%,51%,N/A,https://www.rottentomatoes.com/tv/the_twelve,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
M3GAN,Horror/,"Released Jan 6, 2023,",2023,M3GAN: M3GAN: Best Kills,"1h 42m,",20%,43%,"Critics Consensus
        
Unapologetically silly and all the more entertaining for it, M3GAN is the rare horror-comedy that delivers chuckles as effortlessly as chills.
Read Critics Reviews",https://www.rottentomatoes.com/m/m3gan,Movie,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes
The Abandon,Sci-Fi/,"Released Jul 19,",N/A,The Abandon: Trailer 1,"1h 36m,",33%,75%,N/A,https://www.rottentomatoes.com/m/the_abandon,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Mean Girls,Musical/,"Released Jan 12,",N/A,Mean Girls: Mean Girls: Cady's Best Scenes,"1h 52m,",79%,66%,"Critics Consensus
        
Preserving the essence of the original while adding a few new wrinkles -- not to mention musical numbers -- Mean Girls is a sweet (if slight) update with an outstanding cast.
Read Critics Reviews",https://www.rottentomatoes.com/m/mean_girls_2024,Movie,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes
Aquaman and the Lost Kingdom,Action/,"Released Dec 22, 2023,",2023,Aquaman and the Lost Kingdom: Featurette - Black Manta Returns,"2h 4m,",65%,72%,"Critics Consensus
        
Jason Momoa remains a capable and committed leading man, but even DC diehards may feel that Aquaman and the Lost Kingdom sticks to familiar waters.
Read Critics Reviews",https://www.rottentomatoes.com/m/aquaman_and_the_lost_kingdom,Movie,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
Maestro in Blue,Drama/,"2023 - Present,",2023,A musician travels to an island druing the pandemic to set up a music festival; he begins a romance and finds himself embroiled in other people's problems.,N/A,50%,91%,N/A,https://www.rottentomatoes.com/tv/maestro_in_blue,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
The Decameron,Comedy/,"2024 - Present,",2024,The Decameron: Season 1 Teaser,N/A,66%,56%,N/A,https://www.rottentomatoes.com/tv/the_decameron_2024,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
Lady in the Lake,Drama/,"Next Ep Fri Aug 9,",N/A,Lady in the Lake: Limited Series Featurette - Inside Look,N/A,76%,75%,N/A,https://www.rottentomatoes.com/tv/lady_in_the_lake,TV Show,No,No,No,No,No,No,No,No,Yes,No,No
Griselda,Crime/,"2024 - Present,",2024,Griselda: Limited Series Featurette - Inside Sofia Vergara's Incredible Transformation,N/A,87%,72%,N/A,https://www.rottentomatoes.com/tv/griselda,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
Better Than Us,Drama/,"2018 - Present,",2018,"A family on the brink of splitting up becomes the owner of a cutting-edge robot wanted by a corporation, homicide investigators and terrorists.",N/A,100%,70%,N/A,https://www.rottentomatoes.com/tv/better_than_us,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
Dandelion,Drama/,"Now Playing,",N/A,Dandelion: Trailer 1,"1h 53m,",75%,84%,"Critics Consensus
        
Powered by the lovely duet of KiKi Layne and Thomas Doherty's performances, Dandelion is a slight but sweet musical drama.
Read Critics Reviews",https://www.rottentomatoes.com/m/dandelion_2024,Movie,No,No,No,No,No,No,No,No,No,No,No
The Lord of the Rings: The Fellowship of the Ring,Fantasy/,"Released Dec 13, 2001,",2001,The Lord of the Rings: The Fellowship of the Ring: 4K Remaster Trailer 1,"2h 58m,",95%,95%,"Critics Consensus
        
Full of eye-popping special effects, and featuring a pitch-perfect cast, The Lord of the Rings: The Fellowship of the Ring brings J.R.R. Tolkien's classic to vivid life.
Read Critics Reviews",https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring,Movie,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
Atlas,Sci-Fi/,"Released May 24,",N/A,Atlas: Teaser Trailer,"1h 58m,",18%,46%,"Critics Consensus
        
Jennifer Lopez admirably does her best to shoulder Atlas' seismic scope, but this sci-fi spectacle buckles under the weight of a script whose intelligence is merely artificial.
Read Critics Reviews",https://www.rottentomatoes.com/m/atlas_2024,Movie,Yes,No,No,No,No,No,No,No,No,No,No
Black Mirror,Sci-Fi/,"2011 - Present,",2011,Top 10 Best Black Mirror Episodes,N/A,98%,88%,N/A,https://www.rottentomatoes.com/tv/black_mirror,TV Show,Yes,No,No,No,No,No,No,Yes,No,No,Yes
Dark Desire,Mystery & Thriller,"2020 - Present,",2020,"A married woman spends a fateful weekend away from home that ignites passion but ends in tragedy, causing her to question the truth about those close to her.",N/A,60%,90%,N/A,https://www.rottentomatoes.com/tv/dark_desire,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
The Recruit,Crime/,"2022 - Present,",2022,The Recruit: Season 1 Trailer,N/A,68%,85%,N/A,https://www.rottentomatoes.com/tv/the_recruit,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
Spider-Man: Homecoming,Action/,"Released Jul 7, 2017,",2017,Movieclips: Zendaya's Best Scenes in Spider-Man,"2h 13m,",93%,98%,"Critics Consensus
        
Spider-Man: Homecoming does whatever a second reboot can, delivering a colorful, fun adventure that fits snugly in the sprawling MCU without getting bogged down in franchise-building.
Read Critics Reviews",https://www.rottentomatoes.com/m/spider_man_homecoming,Movie,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
The Zone of Interest,History/,"Released Dec 15, 2023,",2023,The Zone of Interest: Exclusive Featurette - A Rare Perspective,"1h 46m,",79%,100%,"Critics Consensus
        
Dispassionately examining the ordinary existence of people complicit in horrific crimes, The Zone of Interest forces us to take a cold look at the mundanity behind an unforgivable brutality.
Read Critics Reviews",https://www.rottentomatoes.com/m/the_zone_of_interest,Movie,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
Anchorman 2: The Legend Continues,Comedy,"Released Dec 18, 2013,",2013,Anchorman 2: The Legend Continues: Trailer 1,"1h 59m,",93%,51%,"Critics Consensus
        
It's just as uneven and loosely structured as the first Anchorman -- and while Anchorman 2: The Legend Continues may not be quite as quotable, it's nearly as funny as its predecessor.
Read Critics Reviews",https://www.rottentomatoes.com/m/anchorman_2_the_legend_continues,Movie,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
Season 3 – The Mallorca Files,Crime/,"Next Ep Thu Aug 8,",N/A,"British policewoman, Miranda Blake, and German detective, Max Winter join forces to fight crime on the picturesque island of Mallorca.",N/A,100%,78%,N/A,https://www.rottentomatoes.com/tv/the_mallorca_files/s03,TV Show,No,No,No,No,No,No,No,No,No,No,No
Bodkin,Comedy/,"2024,",2024,Bodkin: Season 1 Featurette - The Cast and Crew Explain Road Bowling,N/A,68%,56%,N/A,https://www.rottentomatoes.com/tv/bodkin,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
Kingdom of the Planet of the Apes,Sci-Fi/,"Released May 10,",N/A,Kingdom of the Planet of the Apes: Featurette - Movie Magic,"2h 25m,",94%,84%,"Critics Consensus
        
Carving out a new era for The Planet of the Apes with lovable characters and rich visuals, Kingdom doesn't take the crown as best of the franchise but handily justifies its continued reign. 
Read Critics Reviews",https://www.rottentomatoes.com/m/kingdom_of_the_planet_of_the_apes,Movie,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes
Life,Sci-Fi/,"Released Mar 24, 2017,",2017,Life: Trailer 2,"1h 43m,",65%,55%,"Critics Consensus
        
Life is just thrilling, well-acted, and capably filmed enough to overcome an overall inability to add new wrinkles to the trapped-in-space genre.
Read Critics Reviews",https://www.rottentomatoes.com/m/life_2017,Movie,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
Guy Ritchie's The Covenant,War/,"Released Apr 21, 2023,",2023,Guy Ritchie's The Covenant: Featurette - Battle Ready,"2h 3m,",50%,62%,"Critics Consensus
        
A satisfying, well-acted war thriller with surprising dramatic depths, Guy Ritchie's The Covenant tells a solid story with impressive restraint.
Read Critics Reviews",https://www.rottentomatoes.com/m/guy_ritchies_the_covenant,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
La Chimera,Comedy/,"Released Mar 29,",N/A,La Chimera: Trailer 1,"2h 10m,",84%,81%,"Critics Consensus
        
If La Chimera is a wild, improbable pursuit, this marvelous and magical tale by Alice Rochrwacher is the pie in the sky to behold.
Read Critics Reviews",https://www.rottentomatoes.com/m/la_chimera,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
1917,War/,"Released Jan 10, 2020,",2020,1917: Behind the Scenes - Light Design,"1h 59m,",76%,84%,"Critics Consensus
        
Hard-hitting, immersive, and an impressive technical achievement, 1917 captures the trench warfare of World War I with raw, startling immediacy.
Read Critics Reviews",https://www.rottentomatoes.com/m/1917_2019,Movie,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
L.A. Confidential,Crime/,"Released Sep 19, 1997,",1997,"Three policemen, each with his own motives and obsessions, tackle the corruption surrounding an unsolved murder at a downtown Los Angeles coffee shop in the early 1950s. Detective Lieutenant Exley (Guy Pearce), the son of a murdered detective, is out to avenge his father's killing. The ex-partner of Officer White (Russell Crowe), implicated in a scandal rooted out by Exley, was one of the victims. Sergeant Vincennes (Kevin Spacey) feeds classified information to a tabloid magnate (Danny DeVito).","2h 16m,",83%,94%,"Critics Consensus
        
Taut pacing, brilliantly dense writing and Oscar-worthy acting combine to produce a smart, popcorn-friendly thrill ride.
Read Critics Reviews",https://www.rottentomatoes.com/m/la_confidential,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
War of the Worlds,Sci-Fi/,"2019 - Present,",2019,War of the Worlds: Season 3 Trailer,N/A,78%,81%,N/A,https://www.rottentomatoes.com/tv/war_of_the_worlds_2020,TV Show,No,No,No,No,No,No,No,No,No,No,No
Emily the Criminal,Crime/,"Released Aug 12, 2022,",2022,Emily the Criminal: Trailer 1,"1h 37m,",80%,68%,"Critics Consensus
        
A taut thriller that contains a wealth of social commentary, Emily the Criminal is stolen by Aubrey Plaza's terrific work in the title role.
Read Critics Reviews",https://www.rottentomatoes.com/m/emily_the_criminal,Movie,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
Escaping Twin Flames,Documentary/,"2023 - Present,",2023,"Pulling back the veil on Twin Flames Universe, a controversial online community that allegedly preys on people looking for love.",N/A,100%,72%,N/A,https://www.rottentomatoes.com/tv/escaping_twin_flames,TV Show,Yes,No,No,No,No,No,No,No,No,No,No
A Simple Favor,Mystery & Thriller/,"Released Sep 14, 2018,",2018,A Simple Favor: Trailer 1,"1h 57m,",88%,68%,"Critics Consensus
        
Twisty, twisted, and above all simply fun, A Simple Favor casts a stylish mommy noir spell strengthened by potent performances from Anna Kendrick and Blake Lively.
Read Critics Reviews",https://www.rottentomatoes.com/m/a_simple_favor,Movie,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
Arcadian,Horror/,"Released Apr 12,",N/A,Arcadian: Trailer 1,"1h 32m,",31%,23%,"Critics Consensus
        
Led by a trio of strong performances, Arcadian blends family drama and post-apocalyptic horror to visceral, emotionally stirring effect.
Read Critics Reviews",https://www.rottentomatoes.com/m/arcadian,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Firestarter,Horror/,"Released May 13, 2022,",2022,Firestarter: Featurette - Dark Powers,"1h 34m,",82%,88%,"Critics Consensus
        
There was plenty of room to improve on the original, but Firestarter trips over that low bar and tumbles toward the bottom of the long list of Stephen King adaptations.
Read Critics Reviews",https://www.rottentomatoes.com/m/firestarter_2022,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Eileen,Mystery & Thriller/,"Released Dec 8, 2023,",2023,Eileen: Trailer 1,"1h 36m,",15%,29%,"Critics Consensus
        
Anne Hathaway and Thomasin McKenzie prove a well-matched duo in Eileen, which honors its source material with a twisty tale of obsession.
Read Critics Reviews",https://www.rottentomatoes.com/m/eileen,Movie,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes
The Outsider,Crime/,"2020,",2020,The Outsider: Limited Series Featurette - The First Two Episodes,N/A,91%,58%,N/A,https://www.rottentomatoes.com/tv/the_outsider,TV Show,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
A Quiet Place,Horror/,"Released Apr 6, 2018,",2018,Movieclips: A Quiet Place's Best Scenes,"1h 30m,",91%,92%,"Critics Consensus
        
A Quiet Place artfully plays on elemental fears with a ruthlessly intelligent creature feature that's as original as it is scary -- and establishes director John Krasinski as a rising talent.
Read Critics Reviews",https://www.rottentomatoes.com/m/a_quiet_place_2018,Movie,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
Fairly OddParents: A New Wish,Kids & Family/,"Next Ep Thu Aug 8,",N/A,"When 10-year-old Hazel Wells tries to run away from home, she finds out her weird neighbors, Cosmo and Wanda, are fairy godparents in disguise.",N/A,,94%,N/A,https://www.rottentomatoes.com/tv/fairly_oddparents_a_new_wish,TV Show,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Beverly Hills Cop: Axel F,Action/,"Now Playing,",N/A,Beverly Hills Cop: Axel F: Exclusive Featurette - Working with an Icon,"1h 55m,",75%,96%,"Critics Consensus
        
Content to let a very game Eddie Murphy bring all the heat, the fourth Beverly Hills Cop coasts on nostalgia but marks a welcome return for Axel Foley.
Read Critics Reviews",https://www.rottentomatoes.com/m/beverly_hills_cop_axel_f,Movie,Yes,No,Yes,No,No,No,No,No,No,No,No
Reptile,Crime/,"Released Sep 22, 2023,",2023,Reptile: Trailer 1,"2h 14m,",17%,37%,"Critics Consensus
        
Strong work from Benicio del Toro and Alicia Silverstone isn't enough to make up for Reptile's convoluted and ultimately underwhelming story.
Read Critics Reviews",https://www.rottentomatoes.com/m/reptile_2023,Movie,Yes,No,No,No,No,No,No,No,No,No,No
Defending Jacob,Drama,"2020,",2020,Defending Jacob: Limited Series Featurette - The Making Of,N/A,70%,53%,N/A,https://www.rottentomatoes.com/tv/defending_jacob,TV Show,No,No,No,No,No,No,No,No,Yes,No,No
